,Wijk,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit
25,Erasmuspark,Amsterdam Sloterdijk Station,2333,Jan van Galenstraat,198,Amsterdam Lelylaan Station,3388,Jan van Galenstraat,503,Amsterdam Sloterdijk Station,2281,Burg. De Vlugtlaan,1081,Amsterdam Sloterdijk Station,2850,Jan van Galenstraat,198.0
26,Frankendael,Amsterdam Muiderpoort Station,1589,Amstelstation,647,Amsterdam Muiderpoort Station,1895,Amstelstation,723,Amsterdam Muiderpoort Station,2688,Amstelstation,702,Amsterdam Muiderpoort Station,2160,Amstelstation,647.0
27,Frederik Hendrikbuurt,Amsterdam Centraal Station,2446,Jan van Galenstraat,1591,Amsterdam Centraal Station,2899,Jan van Galenstraat,1607,Amsterdam Centraal Station,3114,Jan van Galenstraat,1607,Amsterdam Centraal Station,3736,Jan van Galenstraat,1749.0
28,Ganzenhoef e.o.,Amsterdam Bijlmer ArenA Station,2500,Station Ganzenhoef,244,Amsterdam Bijlmer ArenA Station,2864,Station Ganzenhoef,300,Amsterdam Bijlmer ArenA Station,2761,Station Ganzenhoef,276,Amsterdam Bijlmer ArenA Station,2844,Station Ganzenhoef,244.0
29,Geerdinkhof/Kantershof,Amsterdam Bijlmer ArenA Station,3356,Kraaiennest station,821,Amsterdam Bijlmer ArenA Station,3817,Kraaiennest station,831,Amsterdam Bijlmer ArenA Station,3758,Kraaiennest station,1056,Amsterdam Bijlmer ArenA Station,3698,Kraaiennest station,821.0
30,Gein,Amsterdam Holendrecht Station,2632,Gein,0,Amsterdam Holendrecht Station,2717,Gein,0,Amsterdam Holendrecht Station,3418,Gein,0,Amsterdam Holendrecht Station,2724,Station Zuid,2383.0
31,Geuzenbuurt,Amsterdam Centraal Station,1516,Waterlooplein,121,Amsterdam Centraal Station,1504,Waterlooplein,138,Amsterdam Muiderpoort Station,2836,Waterlooplein,134,Amsterdam Lelylaan Station,3609,Waterlooplein,121.0
32,Geuzenveld,Amsterdam Sloterdijk Station,3561,Burg. De Vlugtlaan,2891,Amsterdam Sloterdijk Station,3643,Burg. De Vlugtlaan,2886,Amsterdam Sloterdijk Station,3894,Burg. De Vlugtlaan,3187,Amsterdam Sloterdijk Station,4517,Burg. De Vlugtlaan,3502.0
33,Grachtengordel-West,Amsterdam Centraal Station,1131,Centraal Station,1131,Amsterdam Centraal Station,1342,Centraal Station,1342,Amsterdam Centraal Station,1475,Centraal Station,1475,Amsterdam Centraal Station,1826,Rokin,1191.0
34,Grachtengordel-Zuid,Amsterdam Centraal Station,1675,Rokin,509,Amsterdam Centraal Station,2143,Rokin,509,Amsterdam Centraal Station,3060,Vijzelgracht,1319,Amsterdam Centraal Station,1947,Rokin,509.0
